ID,Canonical_Smiles,Inhibition
TRAIN_0000,Cl.OC1(Cc2cccc(Br)c2)CCNCC1,12.5
TRAIN_0001,Brc1ccc2OCCc3ccnc1c23,4.45
TRAIN_0002,CC1(CO)CC(=NO1)c2cc(c(F)cc2Cl)[N+](=O)[O-],4.92
TRAIN_0003,Fc1ccc2nc(Nc3cccc(COc4cccc(c4)C(=O)N5CCOCC5)c3)[nH]c2c1,71.5
TRAIN_0004,CC(C)CC(=O)C1=C(Nc2c(Cl)ccc(Cl)c2C1=O)S(=O)C,18.3
TRAIN_0005,O\C(=C\1/OCCN(Cc2ccccc2)C1=O)\C3CCOCC3,1.28
TRAIN_0006,CS(=O)(=O)OCC(COCc1c(F)cccc1F)OS(=O)(=O)C,8.18
TRAIN_0007,[O-][N+](=O)c1cn2C[C@@H](COc2n1)OC3CCCCO3,13.2
TRAIN_0008,Cc1cc(nc(Nc2ccc(C#N)c(c2)C(F)(F)F)n1)N3CCC(CC3)C(=O)NC(C)(C)C,64.9
TRAIN_0009,COC(=O)c1c(C)nc2N(C)CCc2c1OS(=O)(=O)C(F)(F)F,53.5
TRAIN_0010,FC(F)(F)C(F)(F)COCc1cc(N\N=C/2\N=C(OC2=O)c3ccccc3)ccc1Cl,91.8
TRAIN_0011,Fc1ccc2[nH]c(Nc3ncccc3OCc4cccc(c4)C#N)nc2c1,71.0
TRAIN_0012,COC(=O)c1cc2cc(F)ccc2n1CC(=C)Cl,21.4
TRAIN_0013,CCc1cccc2C(=O)C(=C(NCCc3ccc(OC)c(OC)c3)Nc12)C(=O)C,85.4
TRAIN_0014,COc1ccc(cc1)[C@H](O)[C@H]2OCCN(Cc3ccccc3)C2=O,13.3
TRAIN_0015,Cc1nc(C)c(C(=O)NCc2ccccc2)c(c3ccc(Cl)cc3)c1C(=O)O,16.2
TRAIN_0016,CCCNC(=O)[C@@H]1CCCN1C(=S)Nc2ccccc2,8.62
TRAIN_0017,COc1ccc(CN2Cc3c(Cl)ccnc3C2=O)cc1OC,9.89
TRAIN_0018,CC(C)(C)OC(=O)N1CCC(CC1)c2nc(COc3ccc(cc3)n4cnnn4)cs2,31.2
TRAIN_0019,CSC1=C(C(=O)C)C(=O)c2cc(F)c(F)cc2N1,15.0
TRAIN_0020,CC(=C)COC(=O)C1OC(C)(C)OC1C(=O)OCC(=C)C,26.1
TRAIN_0021,OC(=O)c1ccc(NC(=O)c2ccccc2C(=O)O)cc1O,6.4
TRAIN_0022,CCOC(=O)C1CCN(CC1)c2nc(ncc2OC)c3ccc(cc3)S(=O)(=O)C,7.98
TRAIN_0023,COC(=O)[C@@H](OC(C)(C)C)c1c(C)nc2C(=O)N(Cc3ccc(OC)cc3)CCc2c1Cl,2.99
TRAIN_0024,COc1ccc(cc1)C2(ON(C)C(=N2)N)C3(COc4cc(F)cc(F)c4)CCCCC3,90.5
TRAIN_0025,CC(C)CNC1=C(C(=O)C)C(=O)c2c(Cl)c(Cl)c(Cl)cc2N1,40.2
TRAIN_0026,COC(=O)C(=C(C)\N=C\1/CCCN1C)C(=O)OC,0.0
TRAIN_0027,COc1ccc(cc1)c2cc3c(NC(C)c4ccccc4)ncnc3[nH]2,36.2
TRAIN_0028,OCCc1cc(Cl)nc2c(Br)ccc(O)c12,60.8
TRAIN_0029,Cc1ccc(C)c(NC(=O)CC(=O)Nc2nccs2)c1,14.4
